MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8,17.3,11.5,14.7,19,338
2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8,16.2,10.9,13.8,20,317
2014,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,10.6,7.2,9.1,31,209
2014,BMW,X1 xDRIVE35i,SUV - SMALL,3,6,13.2,8.9,11.3,25,260
2014,BMW,X3 xDRIVE28i,SUV - SMALL,2,4,11.2,8.5,10,28,230
2014,BMW,X3 xDRIVE35i,SUV - SMALL,3,6,12.6,9.1,11,26,253
2014,BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,12.9,8.8,11.1,25,255
2014,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,16.3,10.9,13.9,20,320
2014,BMW,X6 M,SUV - STANDARD,4.4,8,18.1,13.7,16.1,18,370
2014,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,13.6,9.8,11.9,24,274
2014,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,16.4,11.3,14.1,20,324
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,10.8,7.1,9.1,31,209
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,10.4,6.7,8.7,32,200
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,13.7,10.1,12.1,23,278
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,12.7,9,11,26,253
2014,BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,13.7,10.1,12.1,23,278
2014,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,14.3,9.9,12.3,23,283
2014,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,14.6,10.2,12.6,22,290
2014,BUICK,ENCORE,SUV - SMALL,1.4,4,9.5,7.2,8.5,33,196
2014,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,10.2,8,9.2,31,212
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,13.7,8.7,11.5,25,264
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,18.4,12.2,15.6,18,250
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,13.7,8.9,11.5,25,264
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,19.4,13,16.5,17,264
2014,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,9.6,6.5,8.2,34,189
2014,BUICK,REGAL,MID-SIZE,2,4,11.5,7.9,9.9,29,228
2014,BUICK,REGAL,MID-SIZE,2,4,11.6,7.5,9.8,29,225
2014,BUICK,REGAL AWD,MID-SIZE,2,4,12.3,8.7,10.7,26,246
2014,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,9.6,6.5,8.2,34,189
2014,BUICK,VERANO,COMPACT,2,4,11.5,7.9,9.9,29,228
2014,BUICK,VERANO,COMPACT,2,4,11.6,7.5,9.8,29,225
2014,BUICK,VERANO,COMPACT,2.4,4,11.3,7.4,9.5,30,218
2014,CADILLAC,ATS,COMPACT,2,4,11.3,7.5,9.6,29,221
2014,CADILLAC,ATS,COMPACT,2,4,12.1,7.9,10.2,28,235
2014,CADILLAC,ATS,COMPACT,2.5,4,10.5,7.2,9,31,207
2014,CADILLAC,ATS,COMPACT,3.6,6,12.8,8.5,10.9,26,251
2014,CADILLAC,ATS AWD,COMPACT,2,4,11.8,8.1,10.1,28,232
2014,CADILLAC,ATS AWD,COMPACT,3.6,6,13.1,9,11.3,25,260
2014,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,13.2,8.7,11.2,25,258
2014,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,13.3,9,11.4,25,262
2014,CADILLAC,CTS SEDAN,MID-SIZE,2,4,11.9,7.9,10.1,28,232
2014,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,12.9,8.2,10.8,26,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,2,4,12.6,8.5,10.8,26,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,13.1,9,11.3,25,260
2014,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,15.1,9.9,12.8,22,294
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,12.7,8.9,11,26,253
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,13.3,8.9,11.3,25,260
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,12.8,9.1,11.1,25,255
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,13.3,9,11.4,25,262
2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,19.7,12.9,16.6,17,382
2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,16.7,12.5,14.8,19,340
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,19.7,12.9,16.6,17,382
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,16.7,12.5,14.8,19,340
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,19.7,12.9,16.6,17,382
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,16.7,12.5,14.8,19,340
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,17,11.8,14.7,19,338
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,23.3,16.1,20.1,14,322
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,18.8,13.4,16.4,17,377
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,25.7,17.8,22.1,13,354
2014,CADILLAC,SRX,SUV - STANDARD,3.6,6,14.3,9.8,12.3,23,283
2014,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,14.8,10.4,12.8,22,294
2014,CADILLAC,XTS,FULL-SIZE,3.6,6,13.6,8.6,11.4,25,262
2014,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,14,9.1,11.8,24,271
2014,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,14.8,9.8,12.6,22,290
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,13.2,8.7,11.2,25,258
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,14.2,8.6,11.7,24,269
2014,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,12.7,7.9,10.5,27,242
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,15.3,9.8,12.8,22,294
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,15,9.9,12.7,22,292
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,19.7,12.9,16.6,17,382
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,16.7,12.5,14.8,19,340
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,14.9,8.5,12,24,276
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,13.7,8.2,11.2,25,258
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,9.1,6.3,7.8,36,179
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,9.1,6.3,7.8,36,179
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,10.5,6.7,8.8,32,202
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,9.5,6.5,8.2,34,189
2014,CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,8.7,5.1,7.1,40,192
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,9.1,6,7.7,37,177
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,8.4,5.6,7.1,40,163
2014,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,10.5,7.3,9.1,31,209
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,13.9,9.6,12,24,276
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,18.8,13.1,16.2,17,259
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,11.5,8.2,10,28,230
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,14.8,9.9,12.6,22,290
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,19.8,13.6,17,17,272
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,17.1,12.7,15.1,19,347
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,18,13.4,15.9,18,366
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,23.5,17.7,20.9,14,334
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,18.3,14.2,16.5,17,380
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,23.7,18.8,21.5,13,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,18.6,13.9,16.5,17,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,23.9,18.5,21.5,13,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,18.3,14.2,16.5,17,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,25.3,19.3,22.6,12,362
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,18.6,13.9,16.5,17,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,23.9,18.5,21.5,13,344
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,18.3,14.2,16.5,17,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,25.3,19.3,22.6,12,362
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,21.1,14.2,18,16,414
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,21.9,15,18.8,15,432
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,30,20.4,25.7,11,411
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,21.3,14.3,18.2,16,419
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,22.1,15,18.9,15,435
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,30.2,20.5,25.8,11,413
2014,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,11.3,7.5,9.6,29,221
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,12.6,8.2,10.6,27,244
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,16.7,11.3,14.3,20,229
2014,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,10,7,8.7,32,200
2014,CHEVROLET,MALIBU,MID-SIZE,2,4,11.5,7.9,9.9,29,228
2014,CHEVROLET,MALIBU,MID-SIZE,2.5,4,9.3,6.4,8,35,184
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,12.2,8.6,10.6,27,244
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,11.8,8.3,10.2,28,235
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,13.4,9.9,11.8,24,271
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,18.9,14.2,16.8,17,269
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,14.6,10.3,12.7,22,292
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,19.5,13.7,16.9,17,270
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,16.3,11.4,14.1,20,324
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,14.2,10.6,12.6,22,290
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,20,15.1,17.8,16,285
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,14.9,10.6,13,22,299
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,19.9,14.2,17.3,16,277
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,16.4,11.7,14.3,20,329
2014,CHEVROLET,SONIC,COMPACT,1.4,4,9.1,6.7,8,35,184
2014,CHEVROLET,SONIC,COMPACT,1.4,4,8.5,6.2,7.5,38,173
2014,CHEVROLET,SONIC,COMPACT,1.8,4,9.6,6.6,8.3,34,191
2014,CHEVROLET,SONIC,COMPACT,1.8,4,8.9,6.7,7.9,36,182
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,9.1,6.7,8,35,184
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,8.5,6.2,7.5,38,172
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,9.6,6.6,8.3,34,191
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,8.9,6.7,7.9,36,182
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,9.4,7,8.3,34,191
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,8.7,7,7.9,36,182
2014,CHEVROLET,SONIC RS,COMPACT,1.4,4,9.4,7,8.3,34,191
2014,CHEVROLET,SONIC RS,COMPACT,1.4,4,8.7,7,7.9,36,182
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,7.7,6,6.9,41,159
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,7.6,6,6.9,41,159
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,16,11.1,13.8,20,317
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,21.5,14.6,18.4,15,294
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,16,11.1,13.8,20,317
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,21.5,14.6,18.4,15,294
2014,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,16,11.1,13.8,20,317
2014,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,21.5,14.6,18.4,15,294
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,16,11.1,13.8,20,317
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,21.5,14.6,18.4,15,294
2014,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,14.3,9.9,12.3,23,283
2014,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,14.6,10.2,12.6,22,290
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,4,9.4,7.1,8.4,34,193
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,4,9.1,6.8,8.1,35,186
2014,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,10,7.8,9,31,207
2014,CHRYSLER,300,FULL-SIZE,3.6,6,12.4,7.7,10.3,27,237
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,11.7,8.2,10.1,28,232
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,12.9,8.1,10.7,26,246
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,12.5,8.1,10.5,27,242
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,17,11.2,14.4,20,230
2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,11.2,8,9.8,29,225
2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,12,7.6,10,28,230
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,12.5,8.1,10.5,27,242
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,17,11.2,14.4,20,230
2014,CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,15.8,9.2,12.8,22,294
2014,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,12.8,8.6,10.9,26,251
